.,Italian
EventMythosFlavor02.text,"L'atmosfera nella stanza intorno a te diventa densa e stridula e inizia lentamente a soffocarti. Ogni investigatore deve effettuare una prova di ({observation}: 2).\nSe hai successi, ti accorgi che le pareti ondulate della stanza non smettono di restringere la stanza intorno a te. Si instaura un forte senso di claustrofobia; Subisci 1 orrore e acquisisci lo stato <b> Frastornato </b>.\nSe fallisci, il ronzio della lampada da comodino attira la tua attenzione. Diventa <b> concentrato </b>."
EventMythosFlavor02.button1,Continua
EventMythosFlavor03.text,"<b> {rnd:hero} </b>, non puoi distogliere lo sguardo dagli occhi verdi del dipinto di fronte a te. Il suo sorriso ti chiama e non puoi fare a meno di avvicinarti.\n<b> {rnd:hero} </b> può decidere di continuare a guardare il ritratto e diventare <b> Immobilizzato </b> o lottare contro la sua attrazione e strappare il ritratto dal muro; Se decidi di combattere, ottieni il <b> Manoscritto Arcano </b> ma subisci 2 orrori a faccia in giù."
EventMythosFlavor03.button1,Continua
EventMythosFlavor04.text,"La terra inizia a bagnarsi mentre un liquido filtra dal terreno. Ti viene il voltastomaco quando ti rendi conto che cosa macchia le tue scarpe; è in realtà sangue marcio. Si sente un leggero tonfo e i passi dei piedi nudi iniziano a echeggiare contro le pareti della stanza.\n\nOgni Investigatore subisce 2 orrori a faccia in giù ({will} -1 nega)."
EventMythosFlavor04.button1,Continua
EventMythosSoft01.text,"Questo evento dei miti colpisce tutti gli investigatori che si trovano nel corridoio.\n  Dita lunghe e fredde ti circondano il collo, ma non le vedi. Cominciano a stringere e inizi a lottare per un po' d'aria, facendoti girare la testa. Un sudore freddo ti scorre lungo la nuca e temi di svenire da un momento all'altro. ({strength}: 2);\nSe fallisci, svieni; Subisci 2 danni a faccia in giù e diventi <b> Frastornato</b>.\nSe hai successo, puoi in qualche modo liberarti, ma il calvario ti ha lasciato con una tosse secca. Con la mano rimuovi l'oggetto che ti sta ostruendo la gola e ti impedisce di parlare. Estrai una piuma di uccello; Subisci 1 danno a faccia in giù e ottieni 1 {clue}."
EventMythosSoft01.button1,Continua
EventMythosHABOUT.text,|||Questo evento dei miti colpisce tutti gli investigatori sul corridoio.\n\n  Ad ogni passo che fai il corridoio sembra allungarsi sempre di più, le porte che una volta c'erano ora svaniscono mentre cammini e puoi quasi vedere quella che sembra una piccola porta in lontananza ({will}: 2).\n\nSeleziona "Fallito" se anche un solo giocatore non riesce nel tiro. L'effetto del <b> fallimento </b> viene applicato solo agli investigatori che hanno fallito la prova.|||
EventMythosHABOUT.button1,Fallito
EventMythosHABOUT.button2,Successo
EventMythosHABOUT02.text,"Corri in preda al panico verso l'unica uscita che riesci a vedere. Vieni bloccato all'improvviso scontrandoti contro una porta. Quando riacquisti i sensi ti rendi conto che sei alla fine del corridoio, ma non c'è nessuna porta ...\n\nPosiziona il tuo investigatore alla fine del corridoio e subisci 1 orrore, ottieni 1{clue} e diventa <b>Frastornato </b>."
EventMythosHABOUT02.button1,Continua
EventMythosSoft02.text,"L'attenzione di <b>{rnd: hero} </b>è attirata dal cinguettio di un uccello.\n\nCosa fai?"
EventMythosSoft02.button1,Cerca nelle immediate vicinanze
EventMythosSoft02.button2,Ignora il rumore
EventMythosSoft02Consolar.text,"\nNon puoi fare a meno di cedere alla curiosità ed esaminare la zona. Proprio mentre stai per arrenderti, ti volti e vedi una piuma verde fluttuare giù da appena sopra la linea degli occhi. Allunghi la mano e la afferri, mentre le tue dita la toccano un brivido ti corre lungo la schiena ... Con un sussulto ti accorgi che non è infatti una piuma, ma un piccolo tentacolo verde che si contorce tra le dita come la coda appena tagliata di una lucertola. La getti via con orrore... solo per vedere che è di nuovo una piuma verde ... Galleggia dolcemente e si posa sul pavimento.\n\nOttieni 1 {clue} e subisci 1 orrore ({will} -2 nega).\n"
EventMythosSoft02Consolar.button1,Continua
EventMythosSoft02Ignorar.text,Non vedendo nulla al primo sguardo, decidi di seguire il tuo percorso precedente. Tuttavia, ad ogni passo che fai, i dolci cinguettii ti richiamano e poco a poco penetrano sempre più in profondità nelle orecchie, come se fossero piccoli spilli di metallo. ({will}: 2).
EventMythosSoft02Ignorar.button1,Successo
EventMythosSoft02Ignorar.button2,Fallito
EventMythosSoft02IgnorarBIEN.text,"Respiri profondamente. Non mangi e non dormi da troppo tempo, la tua mente deve averti giocato brutti scherzi. Continui a camminare e mentre ti allontani, i cinguettii iniziano a placarsi. Un profondo senso di sollievo ti travolge.\n\nPuoi girare 1 orrore a faccia in giù o scartarne uno a faccia in giù."
EventMythosSoft02IgnorarBIEN.button1,Continua
EventMythosSoft03Pesadilla.text,"Questo evento dei miti colpisce l'investigatore con il maggior numero di oggetti.\n\n  Un suono acuto si avvicina a te, diventa sempre più forte, ma non vedi nulla avvicinarsi. All'improvviso sei avvolto da una massa nera di piume, con becchi che stridono e gracchiano intorno a te. Cominciano a beccarti e a graffiarti, cercando di infilarsi sotto i tuoi vestiti. Subisci 2 danni a faccia in giù ({agility} -2 nega); Se subisci danni, lasci cadere oggetti pari al numero di danni subiti +1. Quindi subisci 1 orrore a faccia in giù."
EventMythosSoft03Pesadilla.button1,Continua
EventMythosSoft04.text,"Mentre cammini noti polvere bianca e polvere sospesa nell'aria davanti a te. Alzi lo sguardo. All'improvviso si sente un forte rumore e il tetto della casa si stacca alzandosi verso l'alto.\nMentre si alza, esplode in mille pezzi. Le schegge iniziano a fondersi formando una massa d'acqua marrone e sulla sua superficie si vede muoversi un'ombra.\n \nL'odore di tabacco e alcol ti assale le narici, effettua una prova ({lore}: 2);\nSe hai successo, riconosci una faccia appena sotto la superficie dell'acqua - È il signor Ford, che ti guarda con un sorriso crudele, ottieni 2 {clue} e subisci 2 orriri a faccia in giù. Se fallisci, non riesci a distinguere la forma, ma puoi percepire qualcosa che ti guarda dall'altra parte, subisci 2 orrori a faccia in giù. Quindi tutti gli investigatori girano 3 orrori a faccia in su."
EventMythosSoft04.button1,Continua
EventMythosSoft05.text,"\nSei colto di sorpresa quando le lampadine nella stanza esplodono intorno a te.\n\nQuesto evento dei miti colpisce tutti gli Investigatori che non si trovano in uno spazio del corridoio. Posiziona un segnalino oscurità nel tuo spazio e in tutti gli spazi entro gittata. Quindi subisci 2 orrore a faccia in giù ({lore} -1 nega).\n"
EventMythosSoft05.button1,Continua
EventMythosCocinaPesadilla.text,"Questo evento dei miti influisce su tutti gli Investigatori sulle tessere Cucina e/o Sala da pranzo.\n\nIl tavolo da pranzo è apparecchiato per otto persone, le stoviglie sono di ottima qualità e le lucenti posate d'argento sono disposte meticolosamente. Ti specchi, analizzando gli intricati rilievi di un decanter per vino. Un fischio acuto e un dolore lacerante ti fanno mettere istintivamente la mano sul collo. Quando la togli, noti che è macchiata di rosso a causa di un taglio sul collo. Alzando lo sguardo vedi un coltello conficcato nella parete opposta, la lama sta ancora dondolando. Ti volti velocemente, ma non riesci a vedere nessuno che potrebbe averlo lanciato. Subisci 3 danni a faccia in giù ({agility} -1 nega). Se subisci 1 o più danni, diventa <b> Frastornato</b>. Poi subisci un orrore a faccia in giù ({will} -2 nega)."
EventMythosCocinaPesadilla.button1,Continua
EventMythosDespacho.text,"Questo evento dei miti ha effetto su qualsiasi investigatore sulla tessera {c:TileDespacho}.\n\nL'ufficio sembra appartenere ad un collezionista. Diversi vecchi volumi sono allineati lungo la parete di fondo e uno di loro cattura la tua attenzione. Sembra ornamentale, con rilievi dorati lungo il dorso. Afferri il libro con grande attenzione ed inizi a leggere. Contiene una teoria selvaggia su un male senza cervello che risiede al centro dell'universo.\n\n Ogni investigatore sulla tessera {c:TileDespacho} può decidere di ottenere 2 {clue}, subisci 1 orrere a faccia in giù per ogni indizio ottenuto."
EventMythosDespacho.button1,Continua
EventMythosSoft06.text,Il terreno scricchiola ed inizia a incrinarsi, si creano centinaia di fratture sul pavimento sotto i piedi di<b> {rnd:hero}</b>. Ad ogni passo più crepe iniziano a diffondersi, effettua un aprova di ({agility}: 2).
EventMythosSoft06.button1,Successo
EventMythosSoft06.button2,Fallito
EventMythosSoft06T.text,Inizi a correre e salti da un tavolo all'altro fino a raggiungere un terreno più solido. Subisci 2 orrori a faccia in giù; poi gira 1 orrore a faccia in su ed ottieni un {clue}.
EventMythosSoft06T.button1,Continua
EventMythosSoft06F.text,"Non potendo reagire in tempo, il pavimento si rompe sotto i tuoi piedi e cadi per quella che sembra un'eternità.\n\nRimuovi l'Investigatore dal tabellone.\nGli investigatori che non sono sul tabellone non possono subire danni o orrore. Inoltre non vengono influenzati dagli eventi dei Miti."
EventMythosSoft06F.button1,Continua
EventRegresoMythos6.text,"Apri gli occhi e riconosci il corridoio della casa. L'ansia ti rende difficoltosa la respirazione. Potrebbe essere stato solo un sogno?\n\nPosiziona l'Investigatore che è stato rimosso dal tabellone, dall'evento Miti precedente, nello spazio designato. Quindi subisci 1 orrore a faccia in su."
EventRegresoMythos6.button1,Continua
EventMythosSoft07Pesadilla.text,"<b> {rnd:hero} </b> si appoggia un attimo ad un muro per riprendere fiato. Prima che abbia la possibilità di reagire, delle mani come artigli spuntano dal muro e lo catturano, afferrandolo e trascinandolo verso l'interno.\n\nSubisci 2 orrori a faccia in giù. Poi effettua una prova di ({strength}: 2); Se fallisci, fai cadere 2 oggetti casuali e diventa<b> Stordito</b> ."
EventMythosSoft07Pesadilla.button1,Continua
EventMythosBiblioteca.text,"\nQuesto evento ha effetto su tutti gli investigatori che si trovano sulla tessera <b>{c:TileBIBLIOTECA}</b>.\n\nUna ragazza bionda con grandi occhi marroni e un vestito elegante appare davanti a te, in una mano tiene un orsacchiotto senza occhi. Un attimo dopo inizia a cantare: <i>\n- 1,2,3,4, ... Scegli un numero e leggi ancora ... 4,3,2,1 non fare errori o il gioco è fatto. </i>\n\nPosiziona il segnalino ragazza verde come indicato."
EventMythosBiblioteca.button5,Non c'è nessun Investigatore nella Biblioteca
EventMythosBiblioteca12.text,"<i> - Non mi piaceva quella storia! Mi ha fatto venire gli incubi! - </i> Dice singhiozzando, ha la faccia rossa e gonfia come un pomodoro. La guardi con orrore mentre la vena sulla sua fronte inizia a gonfiarsi, finché la sua testa non esplode improvvisamente, riempiendo la stanza di viscere e sangue.\n\nCapovolgi tutti i tuoi orrori e danni a faccia in su. Quindi scarta il personaggio della ragazza verde."
EventMythosBiblioteca12.button1,Continua
EventMythosBiblioteca3.text,"<i>\n - Questa è la mia storia preferita! - </i> Dice dolcemente, mentre si alza da terra. Levita verso di te e allunga una mano, accarezzandoti dolcemente il viso. Sei bloccato sul posto per la paura, ma il suo tocco non ti fa male. Invece senti una radiosità incredibile emanata dal suo tocco che allevia i tuoi dolori.\n\nPuoi scartare fino a 2 danni a faccia in giù o girare 2 danni a faccia in giù. Poi subisci 1 orrore ({observation} -2 nega). Scarta il segnalino ragazza verde.\n"
EventMythosBiblioteca3.button1,Continua
EventMythosBiblioteca4.text,"<i> -Ufff! Quella storia era molto noiosa. Aveva solo parole strane che non capivo e non mi aiutava nemmeno a dormire ... - </i>\nDice aggrottando le sopracciglia, poco prima di scomparire dalla tua vista.\nSubisci 1 orrore ({lore} -2 nega) e diventa <b> Fratornato </b>. Rimuovi il segnalino della ragazza verde."
EventMythosBiblioteca4.button1,Continua
EventMythosSoft08.text,"\nLa porta laterale della cucina si spalanca potendo vede fuori; una lampada a muro illumina un sentiero di ciottoli.\n\nRimuovi il segnalino Esplorazione e posiziona la tessera <b>{c:TileEsquinaCalle}</b>.\n\nOgni Investigatore deve effettuare una prova di ({observation}: 1);\nSe hai successo, noterai degli occhi rossi che brillano nell'oscurità. Subisci 1 orrore a faccia in giù e diventa <b> Frastornato</b>.\nSe fallisci lo scricchiolio della casa ti coglie di sorpresa ed indietreggi. Inciampando tenti di riprendere l'equilibrio, ma sbatti la testa contro il muro. Subisci 3 danni a faccia in giù e diventa <b> Stordito </b>.\n"
EventMythosSoft08.button1,Continua
EventPostMythos8.text,"Un cane nero, simile ad uno sciacallo, emerge dall'oscurità e si siede fuori, in strada. Sta trasportando qualcosa in bocca.\n\nPosiziona il segnalino cane come indicato."
EventPostMythos8.button1,Continua
EventYodDogOler.text,"Il cane ti annusa la mano e poi corre nell'oscurità come un cucciolo, è visibilmente spaventato da te.\n\n Subisci 1 orrore e diventi <b> Frastornato </b>."
EventYodDogOler.button1,Continua
EventYogDogBites.text,"Il cane ti ringhia, scoprendo i denti. Tenti di calmarlo tendendo una mano, ma questo provoca solo ulteriormente la creatura ei suoi denti affondano profondamente nella tua mano. Un'ondata di adrenalina ti attraversa, ma prima che tu abbia la possibilità di reagire, il cane scappa via nell'oscurità.\n\nSubisci 1 danno a faccia in giù e diventi <b>Concentrato</b> . "
EventYogDogBites.button1,Continua
EventMythosSoft09.text,"Questo evento ha effetto su<b> {rnd:hero}</b> \n\nNon puoi più ignorare le voci nella tua testa. Sussurrano verità che nessuno dovrebbe conoscere e hai passato troppo tempo a evitare le loro sagge parole.\nInizi a toglierti i vestiti, mentre urli in una lingua che nessun altro può capire. Ti sembra quasi di prendere fuoco, mentre scappi.\n\n  Lascia cadere tutti i tuoi oggetti, posiziona un segnalino Incendio sullo spazio dove si trova il tuo investigatore. Quindi scegli una direzione e muoviti di 2 spazi in quella direzione. Subisci 2 orrore a faccia in giù e 2 danni a faccia in giù, ma ottieni 2 {clue}."
EventMythosSoft09.button1,Continua
EventMythosLavabo.text,"Questo evento dei Miti ha effetto su tutti gli investigatori nel <b>Bagno</b>.\n\n Una nebbia densa e umida riempie lo spazio. La porta non si apre ed improvvisamente non riesci nemmeno a vedere oltre il tuo naso, effettua una prova di ({observation}: 2).\nSe hai successo, cadi di pancia appena sotto la nebbia e trovi aria fresca da respirare.\nSe fallisci, non riesci a trovare un'uscita. La temperatura è scesa rapidamente e ti rendi conto che non puoi più sentire le tue braccia e le tue gambe. Subisci 1 danno e diventa <b> Immobilizzato </b>."
EventMythosLavabo.button1,Continua
EventMythosCampanarioPesadilla.text,"Questo evento dei miti colpisce tutti gli investigatori che non si trovano nel campanile.\n\n  La casa inizia a scricchiolare e senti un forte suono di un campanello, assordandoti. Effettua una prova di ({agility}: 2); Se fallisci diventi <b> Stordito </b> e subisci 1 danno. Se hai successo riesci a mettere le mani sulle orecchie giusto in tempo per smorzare il rumore."
EventMythosCampanarioPesadilla.button1,Continua
EventMythosSotano01.text,"Questo evento dei miti colpisce tutti gli investigatori nel seminterrato.\n\nIl pavimento del seminterrato inizia a ribollire e una patina brillante permea dal pavimento. Come se fossero sabbie mobili, il terreno inizia ad inghiottire tutto ciò che vi poggia. Affondi nel pavimento e temi di essere inghiottito se non reagisci rapidamente. Allunghi la mano e afferri la ringhiera delle scale. Ti svegli di soprassalto e ti ritrovi seduto sui gradini del seminterrato, il viso imbrattato di fango e letame, un rivolo di bava cade da un lato della bocca.\n\nPosiziona gli investigatori sulle scale e subisci 1 orrore e 2 danni."
EventMythosSotano01.button1,Continua
EventMythosHard01.text,"Questo evento di Miti colpisce tutti gli investigatori.\n\nInizi a starnutire, qualcosa ti è andato su per il naso e ti fa lacrimare gli occhi. Sembra un'allergia, ma non ricordi di aver mai avuto nessuna intolleranza. Un'ombra attraversa le pareti, poi il soffitto, poi il pavimento. Provi a seguirlo con gli occhi, ma è troppo veloce, effettua una prova ({observation} -1);\nSe hai successo, ti rendi conto che è l'ombra di un gatto e sebbene non sia solida, puoi vedere i suoi occhi azzurri fissi su di te. Subisci 2 orrori e ottieni 1 {clue}.\nSe fallisci non puoi schivare l'ombra e ti si scaglia contro. Subisci 2 danni."
EventMythosHard01.button1,Continua
EventMythosHard03APesadilla.text,"\nQuesto evento dei Miti colpisce tutti gli investigatori.\n\nUna melodia sinistra fa pulsare la testa, toccandola ti rendi conto che le tue orecchie hanno iniziato a sanguinare. La tua testa si sente come se stesse per esplorare in qualsiasi momento. Mani morbide poggiano delicatamente sulle tue e alzi lo sguardo per vedere il viso di una bambina che dice:\n\n  <i> -Gli spiriti si rifiutano di ascoltare- </i>\n\nSubisci 3 danni ({strength} -1 nega) e 3 orrori ({will} -1 nega).\n"
EventMythosHard03APesadilla.button1,Continua
EventMythosHard03BPesadilla.text,"<b> {rnd:hero} </b>vede qualcosa che risplende per terra. Chinandoti per esaminarla raccogli il ciondolo, su di esso c'è un piccolo ferro di cavallo. Pare che stasera la fortuna ti sorrida, perché non hai visto la carta da parati sul muro scomparire rivelando che i muri di casa sono fatti di ossa e visceri ancora vive e sanguinanti.\n\nTutti gli investigatori, eccetto <b> {rnd:hero}, </b> subiscono 3 orrori a faccia in giù ({influence} -1 nega)."
EventMythosHard03BPesadilla.button1,Continua
EventMythosHard03C.text,Si sente solo lo scricchiolio del legno proveniente dai tuoi passi. Nessun effetto immediato.
EventMythosHard03C.button1,Continua
EventMythosHard02A.text,"\nDi fronte a<b> {rnd: hero} </b> appare un bambino in camicia bianca e pantaloni larghi allacciati da cinghie. Si toglie il berretto e dice con un sorriso affabile:\n\n  <i> - Scusami, sembri stanco ... - </i>\n\n  Il bambino estrae una bottiglia di vetro dalla tasca dei pantaloni e te la offre, sembra essere piena di uno strano liquido giallo:\n\n  <i> - Prendi questo, ti sentirai molto meglio. Forse lui giocherà con noi per un po', più tardi. - </i>"
EventMythosHard02A.button1,Accetta
EventMythosHard02A.button2,Rifiuta
EventMythosHard02BPACT.text,"Prendi il barattolo e bevi il contenuto. Senti il liquido bruciare mentre passa lungo l'esofago, ma un attimo dopo inizi a sentirti molto meglio. Voltando la testa, ti vedi riflesso in uno specchio e ti accorgi che i tuoi occhi hanno cambiato colore. Le tue pupille ora sono viola.\n\nPuoi scartare tutti gli orrori e i danni a faccia in giù, poi prendere il segnalino mostro viola e mettilo sulla tua scheda personaggio."
EventMythosHard02BPACT.button1,Continua
EventMythosHard02CPACT.text,"C'è silenzio. Il tuo corpo inizia a galleggiare. Mentre ti alzi da terra, il ragazzo stende un braccio e ti indica con l'indice:\n\n<i> -Perché non vuoi giocare con noi, uccellino? - </i>\n\nTi fissa, i suoi occhi sono diventati completamente neri ({will}: 3)."
EventMythosHard02CPACT.button1,Successo
EventMythosHard02CPACT.button2,Fallito
EventMythosHard02NoPact.text,"Trai forza dal profondo del tuo essere. Afferri il manico di una pala che è appoggiata al muro e colpisci il bambino alla testa. La pala passa proprio attraverso la sua sagoma ed inciampi perdendo l'equilibrio. Il bambino svanisce nella nebbia, la sua immagine è offuscata dalla forza del tuo colpo.\n\nSubisci 1 orrore {will} -2 nega) e 1 danno a faccia in giù ({agility} -2 nega)"
EventMythosHard02NoPact.button1,Continua
EventMythosHard04Pesadilla.text,"Questo evento dei Miti colpisce tutti gli Investigatori che non hanno una pedina viola sul loro personaggio.\n\nI tuoi avi ti sussurrano, avvertendoti di una seria minaccia. Subisci 1 orrore a faccia in giù per ogni oggetto che hai in mano."
EventMythosHard04Pesadilla.button1,Continua
EventMythosHard05APact.text,"Questo evento dei Miti colpisce gli Investigatori che hanno il segnalino viola sulla loro scheda personaggio.\n\nIl ragazzo con la camicia bianca e i pantaloni larghi appare di nuovo davanti a te, fluttuando ad una spanna da terra:\n\n<i> - Ciao sognatore. Siamo venuti a giocare! Chiamo gli altri. - </i>\n\nIl bambino schiocca le dita e urla angosciose echeggiano per tutta la casa. Un gruppo di bambini con gli occhi vuoti esce dall'ombra sussurrando il tuo nome. Anche se qui hanno sembianze di bambini, riconosci alcuni di loro come tuoi compagni.\n\nTutti gli investigatori tranne te sono stati eliminati."
EventMythosHard05APact.button1,Continua
EventMythosHard05B.text,"<b> \n{rnd:hero} </b>, è paralizzato dalla paura quando nota una massa nera fluttuare sotto i piedi. Aumenta rapidamente di dimensioni, e spuntano appendici che formano rapidamente braccia e gambe che si appoggiano a terra. Una figura umana, alta e vestita con un abito elegante, allunga un braccio, offrendo un whisky a <b> {rnd:hero} </b>:\n\n<i> - Un ultimo drink? - </i>\n\nMaestose ali nere si estendono da dietro il signor Ford. Le grandi ali ti avvolgono dolcemente nell'oscurità.\n\n<b> {rnd:hero} </b> è rimosso dal gioco. Gli investigatori rimanenti hanno ancora un turno per completare le indagini.\n"
EventMythosHard05B.button1,Continua
EventMythosInvernadero.text,|||Questo evento dei Miti colpisce tutti gli investigatori nella scuola materna.\n  Posiziona il segnalino personaggio blu in indicato.\n\nL'eremita dagli occhi vitrei che hai visto prima ti offre un fiore di papavero ({influence}: 2).\nSe sono più gli investigatori che hanno superato la prova rispetto a quelli che l'hanno fallita, seleziona "Successo". Se, invece, sono più quelli che l'hanno fallita o se il risultato è pari, seleziona "Fallito".|||
EventMythosInvernadero.button1,Successo
EventMythosInvernadero.button2,Fallito
EventMythosInvernadero.button3,Nessun investigatore e sulla tessera della scuola materna
EventHypnosGOOD.text,"Accetti il papavero e lo metti dietro l'orecchio. Il giovane sorride e scompare, la calma ti avvolge e ti senti sollevato.\n\n  Uno degli investigatori nella scuola materna può scartare un orrore a faccia in giù o capovolgere un orrore a faccia in su. Poi ottieni 1 {clue}. Rimuovi il segnalino personaggio Blu."
EventHypnosGOOD.button1,Continua
EventHypnosBAD.text,"Rifiuti il papavero e con un colpo lo sbatti a terra. Il giovane ti guarda con rabbia e ti colpisce pugnalandoti con le sue forbici. Quando alzi lo sguardo se n'è andato.\n\n Un investigatore nella scuola materna subisce 4 danni ({strength} -2 nega). Rimuovi il segnalino personaggio blu."
EventHypnosBAD.button1,Continua
EventRondaFinal.text,Questa fase degli Investigatori è l'ultima.
EventRondaFinal.button1,Continua
EventIntro_TextLore01.text,"Senti come un martello nella tua testa e in bocca puoi sentire il sapore familiare del sangue. Contempli di aprire gli occhi, ma temi che ti farà solo peggiorare la sensazione  della testa che pulsa.\n\nL'ultima cosa che ricordi è stata di aver incontrato il signor Ford in quel bar clandestino, nel seminterrato del negozio di uccelli."
EventIntro_TextLore01.button1,Continua
EventIntroMission01.text,"Ti svegli in una piccola stanza poco illuminata. C'è una fonte di luce portatile in cima al comodino che illumina un bellissimo vaso di porcellana pieno di papaveri rossi. Le pareti sono piene di immagini di volti sconosciuti i cui occhi sembrano seguire ogni tuo movimento.\n\n Posiziona la tessera {c:TileEntry} ed il muro come indicato. Ogni investigatore inizia con 1 {clue}."
EventIntroMission01.button1,Continua
EventDesarrolloPasillo1.text,Lungo il corridoio ci sono due porte e su un lato c'è una scrivania in legno. Posiziona un segnalino Ricerca e due segnalini Esplorazione come indicato.
EventDesarrolloPasillo1.button1,Continua
EventDesarrolloPasillo1B.text,Il corridoio gira a destra. Piazza un segnalino Vista come indicato.
EventDesarrolloPasillo1B.button1,Continua
EventVistazo1B.text,"Una grande scrivania in legno è appoggiata al muro, accanto ad essa c'è una porta di legno bianco.\n\n  Posiziona un segnalino Ricerca ed Esplorazione come indicato."
EventVistazo1B.button1,Continua
EventVistazo1C.text,Il corridoio continua. Posiziona un segnalino di Ricerca come indicato.
EventVistazo1C.button1,Continua
EventVistazo2B.text,n fondo alle scale c'è una porta di legno dall'aspetto decorato. Piazza un segnalino Esplorazione come indicato.
EventVistazo2B.button1,Continua
EventEventoLuckyJugar.text,Ti diverti a giocare con la ragazza. Ti conforta sentire il suono felice della sua risata e senti che in qualche modo le cose potrebbero andare meglio. Non puoi fare a meno di sorridere.
EventEventoLuckyJugar.button1,Continua
EventHeridoCaidaSotano2.text,|||Posiziona l'Investigatore che stava "cadendo" dal campanile nello spazio Seminterrato come indicato. L'Investigatore quindi scarta tutte le sue carte danni a faccia in giù e prende una carta Ferito. Sei <b> Ferito </b>. A causa della brutta caduta diventi anche <b> Stordito </b>.\n\nSe l'investigatore era già Ferito, viene sconfitto. Gli investigatori rimanenti hanno un turno aggiuntivo per completare l'indagine.|||
EventHeridoCaidaSotano2.button1,Continua
EventDentroInvernaderoGOOD.text,"Attraverso le enormi finestre che circondano la scuola materna, una gigantesca luna blu brilla alta nel cielo, davanti a un bel giovane con le forbici in mano. Sta potando i papaveri che si estendono e decorano le pareti. Non puoi distogliere lo sguardo da questa scena rilassante.\n\nPosiziona un segnalino Esplorazione e un segnalino Persona come indicato. Puoi muoverti di uno spazio nell'area esplorata."
EventDentroInvernaderoGOOD.button1,Continua
EventDentroInvernaderoBAD.text,"Attraverso le enormi finestre che circondano la scuola materna, una gigantesca luna blu brilla alta nel cielo. Di fronte a te c'è un bel giovane che tiene in mano un paio di forbici da potatura. Sta potando i papaveri che si estendono e decorano le pareti. Non puoi distogliere lo sguardo dalla visione calma.\n\nPosiziona il segnalino Esplorazione e il Personaggio negli spazi indicati. Hai la possibilità di spostarti di uno spazio nell'area esplorata."
EventDentroInvernaderoBAD.button1,Continua
EventSustoBiblioteca.text,"Lo scricchiolio del legno attira la tua attenzione sul retro della libreria. Le pareti scivolano di lato e dietro di essa si vede una porta che sembra essersi materializzata dal nulla.\n\nOgni Investigatore nello spazio Biblioteca o Sala da pranzo subisce 3 orrori ({will}-1 nega)."
EventSustoBiblioteca.button1,Continua
EventDentroSotano2.text,"L'odore di letame ti provoca nausea e l'umidità permea la stanza. Non è presente alcuna finestra che permetta di arieggiare la zona, solo le porte consentono la ventilazione della stessa. Il pavimento di fango sembra essere stato rimosso di recente in alcuni punti.\n\nPosiziona un segnalino Esplorazione e Ricerca come indicato."
EventDentroSotano2.button1,Continua
EventBusquedaFake1Pesadilla.text,"Quando li ispezioni più da vicino, ti accorgi che sono bianchi e neri, hanno una carnagione estremamente pallida e gli occhi sono cuciti.\n\n  Subisci 1 orrore a faccia in giù e diventa <b> Frastornato </b>."
EventResMarcadorFake3.text,"Raccogli il pacco di libri con molta attenzione, preoccupato che da un momento all'altro si sbricioleranno tra le tue dita. Apri le rilegature e un libro si apre, una cascata di piume colorate cade a terra. Tra tutti i libri ce ne è rilegato in pelle.\n\nOttieni l'Oggetto Unico<b> Vecchio Diario </b> e diventa <b> Frastoranto </b>. Rimuovi il segnalino di Ricerca."
EventResMarcadorFake3.button1,Continua
EventResMarcadorFake2.text,Guardi i giornali, ma non trovi niente di interessante. Il testo sembra essere di origine orientale. Ottieni 1 {clue} e diventi <b>Frastornato</b>.
EventResMarcadorFake2.button1,Continua
EventRes1MarcadorFake4.text,Scavi fino a trovare un pezzo di catena che affonda ancora più in profondità nel terreno. Pensi che con un po' di sforzo potresti essere in grado di dissotterlarla, effettua una prova di ({strength}).
EventRes1MarcadorFake4.button1,Successo
EventRes1MarcadorFake4.button2,Fallito
EventRes2MarcadorFake4.text,"La catena inizia finalmente a cedere mentre tiri. C'è qualcosa attaccata ad essa. Continui a tirare finché non inizi a dissotterrare una fila di piccoli teschi umani, ancora parzialmente ricoperti di pelle, attaccati alla catena dai loro capelli. Sembra non avere fine.\n\nSubisci 2 orrori e diventi<b> Frastornato</b>."
EventRes2MarcadorFake4.button1,Continua
EventResMarcadorFake5.text,"\nMettendo da parte con attenzione le forbici si gira verso di te lentamente. I suoi enormi e sproporzionati occhi di vetro fissano i tuoi. Per un momento ti chiedi se quegli enormi occhi di vetro non vedono davvero niente. Sembra che voglia dirti qualcosa, ma quando apre la bocca ti accorgi che non ha la lingua e l'unico rumore che sfugge è lo squittio di un corvo, proveniente da qualche parte dentro di lui. Sorride pacificamente e svanisce davanti ai tuoi occhi.\n\n Subisci 2 orrori ({will}-1 nega) e diventa<b> Frastornato </b>.\n"
EventResMarcadorFake5.button1,Continua
EventMythosHBOut3.text,"\nChiudi forte gli occhi, sperando che tutto torni alla normalità, convinto che tutto questo sia solo un'immaginazione causata dalla stanchezza."
EventMythosHBOut3.button1,Continua
EventGatoHabla1.text,"<i> -Buona notte, sognatore. L'aria fresca è piacevole, non è vero? - </i> Parla il gatto bianco, con voce di donna.\n\nSubisci 1 orrore ({lore}-1 nega)."
EventGatoHabla1.button1,Continua
